#	timestep	total	type0	type1	type2
478 2.107711 9.550625 0.681588 0.369288
479 2.108901 9.561760 0.680793 0.368476
480 2.112568 9.576589 0.682289 0.369663
481 2.115031 9.592905 0.682075 0.368980
482 2.118421 9.608787 0.683045 0.369560
483 2.120279 9.621549 0.682676 0.369422
484 2.123031 9.635477 0.683247 0.369720
485 2.126149 9.651118 0.683994 0.369804
486 2.128928 9.665285 0.684552 0.370075
487 2.131224 9.679853 0.684391 0.369927
488 2.134485 9.696112 0.685156 0.370175
489 2.137720 9.712519 0.685840 0.370444
490 2.140071 9.724271 0.686351 0.370750
491 2.143502 9.739403 0.687598 0.371216
492 2.145554 9.754637 0.687003 0.370672
493 2.148558 9.769327 0.687744 0.371049
494 2.151464 9.783284 0.688557 0.371269
495 2.153649 9.798644 0.688096 0.370864
496 2.157836 9.817037 0.689466 0.372120
497 2.160194 9.831216 0.689555 0.371726
498 2.162551 9.844047 0.689832 0.371928
499 2.165731 9.859503 0.690668 0.372210
500 2.168450 9.874040 0.691128 0.372151
501 2.172131 9.889345 0.692569 0.373164
502 2.174157 9.904455 0.691918 0.372815
503 2.177083 9.918259 0.692774 0.373147
504 2.179982 9.934148 0.693129 0.373230
505 2.182218 9.949307 0.692775 0.372902
506 2.184637 9.960775 0.693558 0.372815
507 2.188550 9.978187 0.694765 0.374051
508 2.190898 9.993375 0.694586 0.373670
509 2.193851 10.009308 0.694996 0.373816
510 2.197108 10.022325 0.696366 0.374859
511 2.198768 10.035563 0.695715 0.374185
512 2.201783 10.050258 0.696540 0.374276
513 2.204607 10.064595 0.697099 0.374651
514 2.206668 10.078957 0.696690 0.374292
515 2.209751 10.093118 0.697656 0.374768
516 2.213822 10.109635 0.699337 0.375952
517 2.215367 10.121692 0.698729 0.375593
518 2.218189 10.137236 0.699137 0.375351
519 2.221081 10.151709 0.699780 0.375658
520 2.224115 10.164755 0.700885 0.376398
521 2.226160 10.178373 0.700623 0.376096
522 2.229483 10.192155 0.701979 0.376824
523 2.232619 10.208236 0.702597 0.377090
524 2.235252 10.222746 0.702897 0.377180
525 2.238216 10.235942 0.703867 0.377884
526 2.240335 10.249653 0.703726 0.377454
527 2.243443 10.263932 0.704640 0.378168
528 2.245953 10.278105 0.704881 0.378090
529 2.249388 10.292620 0.706146 0.379123
530 2.251229 10.307363 0.705474 0.378114
531 2.254383 10.320705 0.706649 0.378997
532 2.257117 10.336017 0.706935 0.378944
533 2.259851 10.351593 0.707153 0.378902
534 2.263318 10.366978 0.708296 0.379745
535 2.265494 10.381342 0.708074 0.379330
536 2.269106 10.396662 0.709423 0.380280
537 2.272480 10.414298 0.710002 0.380574
538 2.275681 10.429700 0.710813 0.381130
539 2.278374 10.445695 0.710930 0.380831
540 2.281617 10.461355 0.711755 0.381330
541 2.284406 10.475600 0.712372 0.381349
542 2.286749 10.490112 0.712240 0.381421
543 2.290003 10.506142 0.713074 0.381581
544 2.292502 10.521215 0.713039 0.381643
545 2.295851 10.536086 0.714123 0.382528
546 2.298736 10.553207 0.714244 0.382233
