#	r	total	0-0	0-1	0-2	1-1	1-2	2-2
9.786344 1.005180 1.063011 0.887994 1.044438 1.112061 0.896288 0.967369
9.821109 1.002827 1.069306 0.890567 1.037562 1.103311 0.901296 0.969441
9.855874 1.000597 1.069401 0.891139 1.035337 1.092890 0.913118 0.961150
9.890639 0.999211 1.075758 0.896276 1.035810 1.083149 0.920133 0.962564
9.925404 0.997774 1.075177 0.901202 1.034235 1.072256 0.931454 0.958897
9.960169 0.995793 1.079468 0.904316 1.031351 1.062298 0.939645 0.957939
9.994934 0.995120 1.082815 0.911125 1.028692 1.052378 0.949752 0.959070
10.029699 0.993779 1.080841 0.915940 1.024131 1.042770 0.959162 0.961802
10.064464 0.993203 1.084767 0.923156 1.018930 1.032660 0.970727 0.959070
10.099229 0.992562 1.086071 0.930102 1.017152 1.023015 0.980707 0.957127
10.133994 0.991210 1.082346 0.934978 1.015077 1.013599 0.989483 0.957774
10.168759 0.989694 1.081388 0.942620 1.008441 1.002896 0.998237 0.957544
10.203524 0.990108 1.084167 0.951236 1.005009 0.994996 1.008028 0.955650
10.238289 0.988948 1.081923 0.957475 0.998622 0.985620 1.017058 0.956770
10.273054 0.988740 1.082315 0.966742 0.996408 0.977384 1.024362 0.952526
10.307819 0.987698 1.076639 0.973924 0.990261 0.968006 1.033205 0.954858
10.342584 0.987169 1.072274 0.982213 0.984260 0.960299 1.039405 0.959556
10.377349 0.986698 1.069583 0.989934 0.979467 0.952070 1.047051 0.963621
10.412113 0.986244 1.065898 0.997923 0.980906 0.943830 1.054032 0.960147
10.446878 0.985298 1.062812 1.006289 0.972356 0.935937 1.059244 0.963943
10.481643 0.983933 1.061883 1.012310 0.967739 0.928142 1.064404 0.960239
10.516408 0.983200 1.058261 1.018583 0.963709 0.919920 1.071985 0.966272
10.551173 0.982710 1.052051 1.027035 0.960433 0.913654 1.074785 0.971623
10.585938 0.982347 1.047498 1.034121 0.956841 0.907628 1.079668 0.970958
10.620703 0.981120 1.043150 1.037948 0.952558 0.901836 1.082515 0.978988
10.655468 0.980059 1.041663 1.042792 0.948487 0.895706 1.086670 0.976508
10.690233 0.979000 1.030114 1.050148 0.946954 0.890094 1.086961 0.981613
10.724998 0.979293 1.029103 1.055614 0.943300 0.886168 1.090787 0.988945
10.759763 0.978273 1.027114 1.058606 0.939569 0.881889 1.093266 0.986369
10.794528 0.977990 1.021829 1.063525 0.938360 0.878882 1.092921 0.995420
10.829293 0.977274 1.012844 1.066404 0.935800 0.875663 1.095042 0.995230
10.864058 0.976594 1.009617 1.068921 0.935763 0.873465 1.093467 1.001712
10.898823 0.976846 1.006176 1.072203 0.931568 0.872823 1.093545 1.005985
10.933588 0.976646 1.003771 1.074651 0.931085 0.871520 1.092794 1.009447
10.968353 0.976170 0.999713 1.075743 0.929175 0.870697 1.091698 1.013384
